City_ID,City Name,Latitude,Longitude,Temperature,Cloudiness,Humidity,Wind Speed,Country
354,kijang,35.2442,129.2139,60.8,0,31,13.8,KR
355,bonao,18.9369,-70.4092,54.0,99,1,1.81,DO
356,stawell,-37.05,142.7667,78.1,47,28,4.45,AU
357,tara,56.8944,74.371,16.27,100,97,3.22,RU
358,tubuala,9.5167,-79.0333,78.01,40,78,2.3,PA
359,along,28.1667,94.7667,77.27,68,39,1.12,IN
360,skelleftea,64.7507,20.9528,-14.8,12,76,4.61,SE
361,vila velha,-20.3297,-40.2925,72.0,90,100,3.44,BR
362,haines junction,60.7522,-137.5108,6.8,63,66,2.89,CA
363,la ronge,55.1001,-105.2842,28.4,82,43,10.36,CA
364,cairns,-16.9167,145.7667,89.01,6,55,12.66,AU
365,balangiga,11.1097,125.3875,83.73,97,69,12.73,PH
366,husavik,66.0449,-17.3389,28.4,90,93,17.27,IS
367,zhicheng,30.2956,111.5047,52.0,100,77,2.33,CN
368,bitkine,11.9801,18.2138,73.56,0,19,5.46,TD
369,tallahassee,30.4383,-84.2807,55.0,1,76,3.44,US
370,hokitika,-42.7167,170.9667,62.62,100,90,7.74,NZ
371,honiara,-9.4333,159.95,82.53,98,78,1.83,SB
372,ati,13.2154,18.3353,73.09,0,17,6.91,TD
373,omboue,-1.5746,9.2618,78.33,96,91,6.4,GA
374,tiarei,-17.5333,-149.3333,84.0,75,74,9.22,PF
375,kikwit,-5.041,18.8162,70.74,1,84,2.17,CD
376,mogadishu,2.0371,45.3438,78.8,40,73,13.8,SO
377,portsmouth,50.799,-1.0913,46.0,100,87,1.01,GB
378,hammerfest,70.6634,23.6821,12.2,0,73,2.3,NO
379,kosa,59.9445,54.9977,-21.77,10,87,6.02,RU
380,sembe,1.6481,14.5806,69.6,99,92,2.51,CG
381,dobsina,48.8207,20.3699,17.6,20,86,3.44,SK
382,ulladulla,-35.35,150.4667,71.6,75,64,10.36,AU
383,hohhot,40.8106,111.6522,50.0,0,43,4.47,CN
384,bouafle,6.9904,-5.7442,73.4,75,94,4.61,CI
385,tuatapere,-46.1333,167.6833,55.99,78,79,11.01,NZ
386,whitehorse,60.7161,-135.0538,12.99,75,72,3.44,CA
387,sidi ali,36.0998,0.4206,47.5,13,93,6.42,DZ
388,altay,47.8667,88.1167,34.81,98,84,0.69,CN
389,vila praia de ancora,41.811,-8.8526,50.0,0,87,8.05,PT
390,el zulia,7.9325,-72.6012,74.08,99,77,2.44,CO
391,zhigansk,66.7697,123.3711,11.62,100,95,20.04,RU
392,moyale,3.5167,39.0584,62.85,60,90,3.36,KE
393,launceston,-41.45,147.1667,70.0,90,49,11.5,AU
394,yanam,16.7333,82.2167,82.4,20,74,3.44,IN
395,shadegan,30.6497,48.6647,59.0,0,67,4.61,IR
396,kuchinarai,16.541,104.05,91.0,0,54,8.05,TH
397,conceicao das alagoas,-19.9147,-48.3883,69.8,0,88,4.61,BR
398,aksarka,66.5606,67.7975,-19.88,98,84,8.14,RU
399,carutapera,-1.195,-46.02,74.84,100,92,3.2,BR
400,dzilam gonzalez,21.2833,-88.9333,70.36,0,66,7.7,MX
401,pijijiapan,15.7011,-93.23,77.99,47,52,11.61,MX
402,mareeba,-17.0,145.4333,89.01,30,55,12.66,AU
403,eskilstuna,59.3666,16.5077,23.0,90,74,9.22,SE
404,mahebourg,-20.4081,57.7,82.4,40,74,8.05,MU
405,karakol,42.4907,78.3936,38.77,87,69,0.76,KG
406,diamantino,-14.4086,-56.4461,70.9,49,89,3.02,BR
407,amantea,39.1332,16.0746,54.0,75,81,9.22,IT
408,pucallpa,-8.3791,-74.5539,72.57,100,97,4.38,PE
409,rorvik,64.8621,11.2373,25.59,61,90,28.27,NO
410,kyshtovka,56.555,76.6271,13.32,100,96,6.49,RU
411,road town,18.4167,-64.6167,77.0,8,85,14.0,VG
412,mandalgovi,45.7625,106.2708,40.62,36,53,11.7,MN
413,ceres,37.5949,-120.9577,51.8,90,50,6.91,US
414,novaya igirma,57.1334,103.9112,21.34,91,94,11.81,RU
415,comodoro rivadavia,-45.8667,-67.5,78.8,0,31,32.21,AR
416,rodrigues alves,-7.738,-72.6509,71.31,100,98,2.51,BR
417,leo,11.1,-2.1,79.38,50,59,9.04,BF
418,makakilo city,21.3469,-158.0858,73.4,75,88,4.61,US
419,san lazaro,18.0387,-88.6622,73.99,53,78,5.01,BZ
420,steamboat springs,40.485,-106.8317,39.99,75,45,2.82,US
421,saint anthony,45.0205,-93.218,55.4,1,76,6.91,US
422,kalmunai,7.4167,81.8167,83.48,30,71,7.56,LK
